strategy,params,sharpe,sortino,cumulative_pnl_pct,max_drawdown_pct,win_rate_pct,trades_triggered,profit_factor,status
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.4366,0.1278,2.214,1.403,51.61,62,1.4487,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.6519,0.2162,2.2463,0.6091,45.83,24,2.5942,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.8363,-0.5753,-14.6226,14.6226,34.47,206,0.382,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.9242,-0.7306,-18.9803,18.9803,35.74,319,0.4327,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.4326,-0.0867,-2.714,3.3282,50.0,72,0.7092,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",-0.4417,-0.0963,-3.134,5.0762,48.98,98,0.7464,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.2121,0.0399,0.9691,1.6788,58.33,48,1.1932,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.1754,0.0332,0.7841,1.6788,56.86,51,1.1492,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.4724,-0.422,-10.1869,10.1869,36.52,178,0.4422,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.1865,-0.4312,-10.9533,13.4792,38.83,273,0.5909,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.1163,-0.027,-0.6206,2.057,48.44,64,0.9003,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.0337,0.0085,0.1691,2.1732,51.14,88,1.0197,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.6915,0.149,2.5469,0.6416,58.82,34,2.1569,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.5632,0.1329,2.0568,0.9154,53.66,41,1.7425,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",0.0222,0.0068,0.1074,3.8728,42.19,64,1.0115,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-0.1713,-0.0486,-1.4655,5.1816,41.38,87,0.8919,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",0.3623,0.0901,1.6747,1.8541,51.06,47,1.4328,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.478,0.1472,2.5542,1.403,51.61,62,1.5164,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.8162,0.3171,2.7982,0.2898,55.0,20,4.1339,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.6541,0.2194,2.2801,0.6091,45.83,24,2.6178,ok
standard,"{'prob_threshold': 0.4, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-0.4255,-0.0726,-1.6923,2.6153,53.7,54,0.7374,ok
